SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
228,0,0,2,AODV,7.5
229,0,0,2,AODV,7.5
230,0,0,2,AODV,7.5
231,0,0,2,AODV,7.5
232,0,0,2,AODV,7.5
233,0,0,2,AODV,7.5
234,0,0,2,AODV,7.5
235,0,0,2,AODV,7.5
236,0,0,2,AODV,7.5
237,0,0,2,AODV,7.5
238,0,0,2,AODV,7.5
239,0,0,2,AODV,7.5
240,0,0,2,AODV,7.5
241,0,0,2,AODV,7.5
242,0,0,2,AODV,7.5
243,0,0,2,AODV,7.5
244,0,0,2,AODV,7.5
245,0,0,2,AODV,7.5
246,0,0,2,AODV,7.5
247,0,0,2,AODV,7.5
248,0,0,2,AODV,7.5
249,0,0,2,AODV,7.5
250,0,0,2,AODV,7.5
251,0,0,2,AODV,7.5
252,0,0,2,AODV,7.5
253,0,0,2,AODV,7.5
254,0,0,2,AODV,7.5
255,0,0,2,AODV,7.5
256,0,0,2,AODV,7.5
257,0,0,2,AODV,7.5
258,0,0,2,AODV,7.5
259,0,0,2,AODV,7.5
260,0,0,2,AODV,7.5
261,0,0,2,AODV,7.5
262,0,0,2,AODV,7.5
263,0,0,2,AODV,7.5
264,0,0,2,AODV,7.5
265,0,0,2,AODV,7.5
266,0,0,2,AODV,7.5
267,0,0,2,AODV,7.5
268,0,0,2,AODV,7.5
269,0,0,2,AODV,7.5
270,0,0,2,AODV,7.5
271,0,0,2,AODV,7.5
272,0,0,2,AODV,7.5
273,0,0,2,AODV,7.5
274,0,0,2,AODV,7.5
275,0,0,2,AODV,7.5
276,0,0,2,AODV,7.5
277,0,0,2,AODV,7.5
278,0,0,2,AODV,7.5
279,0,0,2,AODV,7.5
280,0,0,2,AODV,7.5
281,0,0,2,AODV,7.5
282,0,0,2,AODV,7.5
283,0,0,2,AODV,7.5
284,0,0,2,AODV,7.5
285,0,0,2,AODV,7.5
286,0,0,2,AODV,7.5
287,0,0,2,AODV,7.5
288,0,0,2,AODV,7.5
289,0,0,2,AODV,7.5
290,0,0,2,AODV,7.5
291,0,0,2,AODV,7.5
292,0,0,2,AODV,7.5
293,0,0,2,AODV,7.5
294,0,0,2,AODV,7.5
295,0,0,2,AODV,7.5
296,0,0,2,AODV,7.5
297,0,0,2,AODV,7.5
298,0,0,2,AODV,7.5
299,0,0,2,AODV,7.5
300,0,0,2,AODV,7.5
301,0,0,2,AODV,7.5
302,0,0,2,AODV,7.5
303,0,0,2,AODV,7.5
304,0,0,2,AODV,7.5
305,0,0,2,AODV,7.5
306,0,0,2,AODV,7.5
307,0,0,2,AODV,7.5
308,0,0,2,AODV,7.5
309,0,0,2,AODV,7.5
310,0,0,2,AODV,7.5
311,0,0,2,AODV,7.5
312,0,0,2,AODV,7.5
313,0,0,2,AODV,7.5
314,0,0,2,AODV,7.5
315,0,0,2,AODV,7.5
316,0,0,2,AODV,7.5
317,0,0,2,AODV,7.5
318,0,0,2,AODV,7.5
319,0,0,2,AODV,7.5
320,0,0,2,AODV,7.5
321,0,0,2,AODV,7.5
322,0,0,2,AODV,7.5
323,0,0,2,AODV,7.5
324,0,0,2,AODV,7.5
325,0,0,2,AODV,7.5
326,0,0,2,AODV,7.5
327,0,0,2,AODV,7.5
328,0,0,2,AODV,7.5
329,0,0,2,AODV,7.5
330,0,0,2,AODV,7.5
331,0,0,2,AODV,7.5
332,0,0,2,AODV,7.5
333,0,0,2,AODV,7.5
334,0,0,2,AODV,7.5
335,0,0,2,AODV,7.5
336,0,0,2,AODV,7.5
337,0,0,2,AODV,7.5
338,0,0,2,AODV,7.5
339,0,0,2,AODV,7.5
340,0,0,2,AODV,7.5
341,0,0,2,AODV,7.5
342,0,0,2,AODV,7.5
343,0,0,2,AODV,7.5
344,0,0,2,AODV,7.5
345,0,0,2,AODV,7.5
346,0,0,2,AODV,7.5
347,0,0,2,AODV,7.5
348,0,0,2,AODV,7.5
349,0,0,2,AODV,7.5
350,0,0,2,AODV,7.5
351,0,0,2,AODV,7.5
352,0,0,2,AODV,7.5
353,0,0,2,AODV,7.5
354,0,0,2,AODV,7.5
355,0,0,2,AODV,7.5
356,0,0,2,AODV,7.5
357,0,0,2,AODV,7.5
358,0,0,2,AODV,7.5
359,0,0,2,AODV,7.5
360,0,0,2,AODV,7.5
361,0,0,2,AODV,7.5
362,0,0,2,AODV,7.5
363,0,0,2,AODV,7.5
364,0,0,2,AODV,7.5
365,0,0,2,AODV,7.5
366,0,0,2,AODV,7.5
367,0,0,2,AODV,7.5
368,0,0,2,AODV,7.5
369,0,0,2,AODV,7.5
370,0,0,2,AODV,7.5
371,0,0,2,AODV,7.5
372,0,0,2,AODV,7.5
373,0,0,2,AODV,7.5
374,0,0,2,AODV,7.5
375,0,0,2,AODV,7.5
376,0,0,2,AODV,7.5
377,0,0,2,AODV,7.5
378,0,0,2,AODV,7.5
379,0,0,2,AODV,7.5
380,0,0,2,AODV,7.5
381,0,0,2,AODV,7.5
382,0,0,2,AODV,7.5
383,0,0,2,AODV,7.5
384,0,0,2,AODV,7.5
385,0,0,2,AODV,7.5
386,0,0,2,AODV,7.5
387,0,0,2,AODV,7.5
388,0,0,2,AODV,7.5
389,0,0,2,AODV,7.5
390,0,0,2,AODV,7.5
391,0,0,2,AODV,7.5
392,0,0,2,AODV,7.5
393,0,0,2,AODV,7.5
394,0,0,2,AODV,7.5
395,0,0,2,AODV,7.5
396,0,0,2,AODV,7.5
397,0,0,2,AODV,7.5
398,0,0,2,AODV,7.5
399,0,0,2,AODV,7.5
